month,total_subs
2018-11-01,1
2018-12-01,3
2019-01-01,5
2019-02-01,6
2019-03-01,6
2019-04-01,6
2019-05-01,6
2019-06-01,6
2019-07-01,6
2019-08-01,7
2019-09-01,12
2019-10-01,15
2019-11-01,16
2019-12-01,16
2020-01-01,18
2020-02-01,93
2020-03-01,126
2020-04-01,334
2020-05-01,489
2020-06-01,538
2020-07-01,605
2020-08-01,797
2020-09-01,1054
2020-10-01,1378
2020-11-01,1730
2020-12-01,2543
2021-01-01,3602
2021-02-01,4444
2021-03-01,4988
2021-04-01,5795
2021-05-01,6511
2021-06-01,7323
2021-07-01,8615
2021-08-01,12045
2021-09-01,15138
2021-10-01,17283
2021-11-01,18754
2021-12-01,19836
2022-01-01,20728
2022-02-01,21267
2022-03-01,22641
2022-04-01,22759
2022-05-01,22417
2022-06-01,22062
2022-07-01,21794
2022-08-01,22321
2022-09-01,22295
2022-10-01,22440
2022-11-01,22500
2022-12-01,22519
2023-01-01,23267
2023-02-01,23406
2023-03-01,24125
2023-04-01,23907
2023-05-01,23771
2023-06-01,23692
2023-07-01,23585
2023-08-01,27078
2023-09-01,27707
2023-10-01,27669
2023-11-01,27161
2023-12-01,27293
2024-01-01,28031
2024-02-01,28356
2024-03-01,27881
2024-04-01,24606
2024-05-01,22972
2024-06-01,21651
2024-07-01,20484
2024-08-01,17913
2024-09-01,12130
2024-10-01,9169
2024-11-01,7432
2024-12-01,6351
2025-01-01,5715
2025-02-01,4551
2025-03-01,3915
2025-04-01,3394
2025-05-01,3197
2025-06-01,2977
2025-07-01,2930
2025-08-01,2708
2025-09-01,1698
2025-10-01,1176
2025-11-01,734
2025-12-01,565
2026-01-01,412
2026-02-01,149
2026-03-01,57
2026-04-01,19
2026-05-01,19
2026-06-01,19
2026-07-01,19
2026-08-01,18
2026-09-01,18
2026-10-01,12
2026-11-01,4
2026-12-01,4
2027-01-01,4
2027-02-01,4
2027-03-01,4
2027-04-01,4
2027-05-01,4
2027-06-01,4
2027-07-01,3
2027-08-01,3
2027-09-01,2
