month,transaction_type,total_subs
2018-11-01,PAID,1
2018-12-01,PAID,3
2019-01-01,PAID,5
2019-02-01,PAID,6
2019-03-01,PAID,6
2019-04-01,PAID,6
2019-05-01,PAID,6
2019-06-01,PAID,6
2019-07-01,PAID,6
2019-08-01,PAID,7
2019-09-01,PAID,12
2019-10-01,PAID,15
2019-11-01,PAID,16
2019-12-01,PAID,16
2020-01-01,PAID,18
2020-02-01,PAID,93
2020-03-01,PAID,126
2020-04-01,PAID,334
2020-05-01,PAID,489
2020-06-01,PAID,538
2020-07-01,PAID,605
2020-08-01,PAID,797
2020-09-01,PAID,1054
2020-10-01,PAID,1378
2020-11-01,PAID,1730
2020-12-01,PAID,2543
2021-01-01,PAID,3602
2021-02-01,PAID,4444
2021-03-01,PAID,4988
2021-04-01,PAID,5795
2021-05-01,PAID,6511
2021-06-01,PAID,7323
2021-07-01,PAID,8615
2021-08-01,PAID,12045
2021-09-01,PAID,15138
2021-10-01,PAID,17283
2021-11-01,PAID,18754
2021-12-01,PAID,19836
2022-01-01,PAID,20728
2022-02-01,PAID,21267
2022-03-01,PAID,22641
2022-04-01,PAID,22759
2022-05-01,PAID,22417
2022-06-01,PAID,22062
2022-07-01,PAID,21794
2022-08-01,PAID,22321
2022-09-01,PAID,22295
2022-10-01,PAID,22440
2022-11-01,PAID,22500
2022-12-01,PAID,22519
2023-01-01,PAID,23267
2023-02-01,PAID,23406
2023-03-01,PAID,24125
2023-04-01,PAID,23907
2023-05-01,PAID,23771
2023-06-01,PAID,23692
2023-07-01,PAID,23585
2023-08-01,PAID,25579
2023-08-01,FREE_TRIAL,1499
2023-09-01,PAID,25470
2023-09-01,FREE_TRIAL,2237
2023-10-01,FREE_TRIAL,1608
2023-10-01,PAID,26061
2023-11-01,PAID,25939
2023-11-01,FREE_TRIAL,1222
2023-12-01,FREE_TRIAL,1189
2023-12-01,PAID,26104
2024-01-01,FREE_TRIAL,1402
2024-01-01,PAID,26629
2024-02-01,PAID,27005
2024-02-01,FREE_TRIAL,1351
2024-03-01,FREE_TRIAL,1010
2024-03-01,PAID,26871
2024-04-01,FREE_TRIAL,37
2024-04-01,PAID,24569
2024-05-01,FREE_TRIAL,2
2024-05-01,PAID,22970
2024-06-01,FREE_TRIAL,2
2024-06-01,PAID,21649
2024-07-01,PAID,20482
2024-07-01,FREE_TRIAL,2
2024-08-01,FREE_TRIAL,2
2024-08-01,PAID,17911
2024-09-01,FREE_TRIAL,2
2024-09-01,PAID,12128
2024-10-01,PAID,9167
2024-10-01,FREE_TRIAL,2
2024-11-01,FREE_TRIAL,2
2024-11-01,PAID,7430
2024-12-01,PAID,6349
2024-12-01,FREE_TRIAL,2
2025-01-01,PAID,5714
2025-01-01,FREE_TRIAL,1
2025-02-01,PAID,4550
2025-02-01,FREE_TRIAL,1
2025-03-01,PAID,3914
2025-03-01,FREE_TRIAL,1
2025-04-01,PAID,3394
2025-05-01,PAID,3197
2025-06-01,PAID,2977
2025-07-01,PAID,2930
2025-08-01,PAID,2708
2025-09-01,PAID,1698
2025-10-01,PAID,1176
2025-11-01,PAID,734
2025-12-01,PAID,565
2026-01-01,PAID,412
2026-02-01,PAID,149
2026-03-01,PAID,57
2026-04-01,PAID,19
2026-05-01,PAID,19
2026-06-01,PAID,19
2026-07-01,PAID,19
2026-08-01,PAID,18
2026-09-01,PAID,18
2026-10-01,PAID,12
2026-11-01,PAID,4
2026-12-01,PAID,4
2027-01-01,PAID,4
2027-02-01,PAID,4
2027-03-01,PAID,4
2027-04-01,PAID,4
2027-05-01,PAID,4
2027-06-01,PAID,4
2027-07-01,PAID,3
2027-08-01,PAID,3
2027-09-01,PAID,2
